family,severity_parameter,severity_value,case_name,dvtap_pct,dtheta_mdeg,tan_delta,surface_leak,volume_leak,vtap_abs,notes
baseline,none,0.0,healthy,0.0,0.0,0.001999533317504881,0.0,0.00025054112378946686,11829.524170462191,healthy rounded DDB-123 reference
C1_cap,cap_increase_pct,0.1,C1_cap_0.1pct,0.08333126644466393,-0.0002844193442822357,0.0019995447043378634,0.0,0.0002507504630411204,11839.381862767816,
C2_cap,cap_increase_pct,0.1,C2_cap_0.1pct,-0.0832211999261645,0.00026395566912082447,0.001999535958139369,0.0,0.00025058295610898057,11819.679498501977,
C1_cap,cap_increase_pct,0.3,C1_cap_0.3pct,0.24991055002052676,-0.0008660171954476825,0.0019995674380881017,0.0,0.00025116893592354913,11859.087399381404,
C2_cap,cap_increase_pct,0.3,C2_cap_0.3pct,-0.24924874424443466,0.000804698870008197,0.0019995412245406964,0.0,0.0002506664123287895,11800.039230017223,
C1_cap,cap_increase_pct,1.0,C1_cap_1pct,0.8320653774079201,-0.0027968267090598686,0.0019996465907492884,0.0,0.0002526314355221874,11927.953545396707,
C2_cap,cap_increase_pct,1.0,C2_cap_1pct,-0.8260251470209035,0.0026919476506992585,0.0019995595023004934,0.0,0.00025095633876325544,11731.809326041257,
C1_cap,cap_increase_pct,3.0,C1_cap_3pct,2.487920857056003,-0.008531376748019612,0.001999869268245929,0.0,0.0002567916174778464,12123.833369589602,
C2_cap,cap_increase_pct,3.0,C2_cap_3pct,-2.437801729670608,0.00809742052412532,0.001999610434357071,0.0,0.00025176653528450417,11541.143825622861,
C1_cap,cap_increase_pct,10.0,C1_cap_10pct,8.197948388932641,-0.028299875536934485,0.0020006112602393663,0.0,0.0002711410762880519,12799.302456612993,
C2_cap,cap_increase_pct,10.0,C2_cap_10pct,-7.688659138407427,0.027307291490203903,0.0019997749080944227,0.0,0.00025440609850714275,10919.992379299834,
C1_cap,cap_increase_pct,20.0,C1_cap_20pct,16.13157047464393,-0.05618825513043253,0.0020015843233427014,0.0,0.00029108762386395343,13737.812198835338,
C2_cap,cap_increase_pct,20.0,C2_cap_20pct,-14.279422160822353,0.055302666451309754,0.0019999782867844945,0.0,0.0002577194360728034,10140.336474545376,
C1_loss,tan_delta,0.002,C1_loss_0.002,0.0,0.0,0.001999533317504881,0.0,0.00025054112378946686,11829.524170462191,
C2_loss,tan_delta,0.002,C2_loss_0.002,0.0,0.0,0.001999533317504881,0.0,0.00025054112378946686,11829.524170462191,
C1_loss,tan_delta,0.005,C1_loss_0.005,0.0009361130744123258,-143.25761520257225,0.004489486518555142,0.0,0.0005625324420873463,11829.634908184591,
C2_loss,tan_delta,0.005,C2_loss_0.005,-0.0008105003118208387,143.16426150897036,0.0024968796794133017,0.0,0.00031285890960981705,11829.428292131903,
C1_loss,tan_delta,0.01,C1_loss_0.01,0.0044408298451648065,-382.0076368087995,0.008639326026021176,0.0,0.00108251530253937,11830.049499502094,
C2_loss,tan_delta,0.01,C2_loss_0.01,-0.0035486278175733688,381.7633380233757,0.0033257076196278167,0.0,0.0004167141717306063,11829.104384676792,
C1_loss,tan_delta,0.02,C1_loss_0.02,0.01874089028370829,-859.408137016107,0.016938323706699628,0.0,0.002122463218900154,11831.741128608062,
C2_loss,tan_delta,0.02,C2_loss_0.02,-0.014225353850016997,858.9015544163791,0.004982681447468416,0.0,0.0006243568813006603,11827.84137879017,
C1_loss,tan_delta,0.05,C1_loss_0.05,0.11990505792092154,-2289.7912446807145,0.0418224314957299,0.0,0.005242008717938012,11843.708368270554,
C2_loss,tan_delta,0.05,C2_loss_0.05,-0.08777506386324907,2289.2422592861803,0.009940730383520866,0.0,0.0012459669443705618,11819.14079806685,
C1_loss,tan_delta,0.1,C1_loss_0.1,0.4818732230303491,-4660.949556327178,0.08320357259764952,0.0,0.010439218870328632,11886.527479851551,
C2_loss,tan_delta,0.1,C2_loss_0.1,-0.34758610455474237,4665.628750150964,0.018112505446567444,0.0,0.002272481523364443,11788.40638821072,
disc_short,short_location,1,C1_HV,9.090848329857405,-0.5372185843591313,0.002009329874303033,0.0,0.0002745974511820236,12904.928270942732,full short; analytic d|Vtap|=+9.09%
disc_short,short_location,5,C1_mid,9.091114304624393,-0.5426772940703363,0.002009584756664665,0.0,0.0002746044801518691,12904.959734492078,full short; analytic d|Vtap|=+9.09%
disc_short,short_location,10,C1_tap,9.103402192184396,-0.5426387098751606,0.0020097406745765477,0.0,0.0002745988314335559,12906.41333312103,full short; analytic d|Vtap|=+9.09%
disc_short,short_location,11,C2_tap,-45.44729787784312,5.386091789016149,0.0020097449606239818,0.0,0.0002745992301127029,6453.325083180789,full short; analytic d|Vtap|=-45.45%
disc_short,short_location,12,C2_gnd,-45.44195729626062,5.384581077895513,0.002009748158464001,0.0,0.0002745993148483116,6453.956848569935,full short; analytic d|Vtap|=-45.45%
disc_short,short_sigma,0.0001,short_sigma_0.0001,4.342344874278714,-2486.3415419565786,0.0452665182020146,0.0,0.005911173032547032,12343.202906929817,C1 element 5; sigma=0.0001 S/m
disc_short,short_sigma,0.001,short_sigma_0.001,8.991129997811642,-503.98243663869357,0.010765828642560912,0.0,0.00146969614197999,12893.132066750995,C1 element 5; sigma=0.001 S/m
disc_short,short_sigma,0.01,short_sigma_0.01,9.089930501175392,-50.95972078331927,0.0028864479152984454,0.0,0.0003944204136377772,12904.81969617695,C1 element 5; sigma=0.01 S/m
disc_short,short_sigma,0.1,short_sigma_0.1,9.091086973062179,-5.126623927830698,0.002089310223190885,0.0,0.00028549863772262994,12904.95650129832,C1 element 5; sigma=0.1 S/m
disc_short,short_sigma,1.0,short_sigma_1,9.091114304624393,-0.5426772940703363,0.002009584756664665,0.0,0.0002746044801518691,12904.959734492078,C1 element 5; sigma=1 S/m
