sigma,sigma_over_we,vtap_abs,vtap_re,vtap_im,phase_deg,tan_delta,i_leak,p_loss,emax
0,0,29117.64706,29117.64706,0,0,0,0,0,808823.5294
1e-06,71.90041434,13469.38788,12173.10501,5765.407572,25.34310026,0.04652805636,2.170298146e-05,1.19366398,1833557.549
0.0001,7190.041434,10109.74979,10109.53994,65.13752228,0.3691615535,0.0005176977319,2.455387426e-07,0.01350463084,1903897.118
