case,sigma_s,vtap_abs,dtheta_mdeg,tan_delta,i_leak,emax,surf_emax,emax_body
full,1e-06,11836.727816367593,-2.0945796843317144,0.1626662756388125,0.02038825141837212,734284.5973683443,26718.486921585398,air
top25,1e-06,11839.074340947229,-0.8480667301028706,0.002018686967711382,0.00025322728853276985,1327646.1404162718,810.4185785833946,air
mid25,1e-06,11832.095002758884,-0.11813015662007013,0.0020015751212507002,0.00025086346498331285,744142.6614392275,221.78267161586552,air
bottom25,1e-06,11805.022895899368,2.455990792798415,0.002013247969265424,0.00025242971340854494,747309.6954116925,611.8978518288864,air
streamer,5.555555555555556e-06,11836.75102898914,-0.33489606133382627,0.8945754194440345,0.1121242315240427,734275.6237381622,26708.21801363219,air
